Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0310637	676	488	516	74	44	34	396	824	814	43	68	47	365.48	678	53	0.078	-3.685	1.3534507222102e-15	1.009787026329e-12	0.1171	0.117
FBtr0072956	13495	5761	5086	1100	962	905	7907	9723	8026	647	1492	1255	4841.7	8552	1131	0.132	-2.92	7.6016852378328e-15	4.86127770959407e-12	0.0875	0.0876
FBtr0072393	1894	668	784	266	128	145	1110	1127	1237	156	198	201	671.73	1158	185	0.16	-2.647	9.45169843782515e-15	5.64140374092324e-12	0.0718	0.096
FBtr0112532	266	48	85	11	1	1	156	81	134	6	2	1	63.4	124	3	0.031	-4.997	9.38557560174558e-15	5.64140374092324e-12	0.168	0.1775
FBtr0334282	323	123	139	24	5	10	189	208	219	14	8	14	108.66	205	12	0.06	-4.057	1.02106476663957e-14	5.89780184240261e-12	0.1324	0.1673
FBtr0075753	7338	2709	2389	1327	534	573	4300	4572	3770	780	828	795	2507.44	4214	801	0.19	-2.396	1.69053110512107e-14	9.17292423281754e-12	0.0628	0.0851
FBtr0085735	202	73	73	7	6	4	118	123	115	4	9	6	62.62	119	6	0.051	-4.304	3.21148068599196e-14	1.69131685774623e-11	0.1338	0.1777
FBtr0111030	6171	1226	985	666	132	170	3616	2069	1554	391	205	236	1345.25	2413	277	0.115	-3.116	3.67295391860359e-14	1.8790832247576e-11	0.1025	0.0861
FBtr0089484	1395	442	447	213	51	49	817	746	705	125	79	68	423.51	756	91	0.121	-3.042	5.15726742585532e-14	2.49583866290177e-11	0.0966	0.1109
FBtr0335024	11505	3312	2192	1655	561	471	6741	5590	3459	973	870	653	3047.73	5263	832	0.158	-2.661	8.05226221871203e-14	3.79431071811204e-11	0.0803	0.0855
FBtr0302694	3011	1194	1189	564	253	314	1764	2015	1876	332	392	435	1135.86	1885	386	0.205	-2.288	2.71784771605077e-13	1.18697027325866e-10	0.0629	0.0874
FBtr0089348	4028	1083	1041	791	192	201	2360	1828	1643	465	298	279	1145.38	1944	347	0.179	-2.48	6.2441922265259e-13	2.54110240927665e-10	0.0755	0.0873
FBtr0081958	118	26	37	3	3	1	69	44	58	2	5	1	29.87	57	3	0.043	-4.536	2.48403195926106e-12	9.4636332473465e-10	0.1403	0.1708
FBtr0076459	537	186	188	51	25	31	315	314	297	30	39	43	172.83	309	37	0.12	-3.062	2.83907737623121e-12	1.03747998977135e-09	0.1071	0.1502
FBtr0344554	450	60	65	15	5	4	264	101	103	9	8	6	81.61	156	8	0.049	-4.359	3.28503308413435e-12	1.1764360480902e-09	0.1822	0.1739
FBtr0073423	3319	583	819	387	113	51	1945	984	1292	227	175	71	782.44	1407	158	0.113	-3.149	5.42403936488323e-12	1.9043695856392e-09	0.1252	0.0926
FBtr0303384	3045	1221	589	552	125	122	1784	2061	929	324	194	169	910.33	1591	229	0.145	-2.789	9.32836478234560e-12	3.21218653447462e-09	0.1037	0.09
FBtr0344981	3763	509	490	273	116	118	2205	859	773	160	180	164	723.55	1279	168	0.131	-2.931	3.94856579980194e-11	1.28550944020461e-08	0.1201	0.0942
FBtr0085094	101410	46896	59580	17936	10031	12131	59422	79151	94019	10543	15553	16825	45918.91	77531	14307	0.185	-2.438	6.95982587889546e-11	2.22540432477682e-08	0.0906	0.106
