Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0086142	15	7	6	14	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086143	61	26	23	78	40	39	36	44	36	46	62	54	46.31	39	54	1.382	0.467	0.198205352279959	0.598493261032874	0.0693	0.0975
FBtr0086144	1	1	1	4	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086145	331	148	139	326	119	146	194	250	219	192	185	202	206.95	221	193	0.879	-0.186	0.503175420172182	0.849821766823223	0.0497	0.0653
FBtr0086146	15	6	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086147	2	2	3	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086148	913	275	294	482	228	244	535	464	464	283	354	338	406.39	488	325	0.663	-0.594	0.0140285672459832	0.12489317359363	0.0386	0.0457
FBtr0086149	73	47	22	73	21	21	43	79	35	43	33	29	43.57	52	35	0.683	-0.55	0.204004829803711	0.608007736761858	0.1053	0.0968
FBtr0086150	18680	5094	5126	19303	5894	6921	10946	8598	8089	11346	9139	9599	9619.4	9211	10028	1.093	0.129	0.480978014828628	0.837536938006555	0.0239	0.0309
FBtr0086151	11707	2257	2845	11322	3716	3418	6860	3809	4490	6655	5762	4740	5386.01	5053	5719	1.158	0.211	0.257281919436184	0.670054660475393	0.0247	0.0269
FBtr0086152	4427	1030	862	4256	1131	1173	2594	1738	1360	2502	1754	1627	1929.16	1897	1961	1.046	0.065	0.715007298198805	0.931938478451081	0.0222	0.0253
FBtr0086153	3548	1022	1324	3338	867	1121	2079	1725	2089	1962	1344	1555	1792.39	1964	1620	0.818	-0.29	0.108943702856398	0.438188843013145	0.0228	0.0256
FBtr0086156	4594	1733	1768	3482	1893	2126	2692	2925	2790	2047	2935	2949	2722.88	2802	2644	0.93	-0.105	0.546292196469177	0.870603811853715	0.0212	0.0248
FBtr0086160	14	5	4	19	8	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086161	13	5	4	24	8	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086162	11	7	13	54	9	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086164	41	46	94	80	63	21	24	78	148	47	98	29	70.64	83	58	0.842	-0.249	0.638260608087013	0.907093788626634	0.1701	0.0973
FBtr0086165	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086168	6	2	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086169	6	5	1	11	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086170	56	26	58	133	138	234	33	44	92	78	214	325	130.82	56	206	3.339	1.739	8.63739798788997e-06	0.000296854603399535	0.0918	0.0814
FBtr0086171	245	69	101	220	76	122	144	116	159	129	118	169	139.29	140	139	0.989	-0.015	0.962415707645457	0.991092369510007	0.0693	0.0788
FBtr0086172	727	173	287	1060	247	387	426	292	453	623	383	537	452.28	390	514	1.309	0.388	0.131584913879397	0.488424433649354	0.0448	0.0431
FBtr0086173	30	129	116	51	85	46	18	218	183	30	132	64	107.32	140	75	0.714	-0.486	0.277635824163982	0.689426034079441	0.1202	0.0885
FBtr0086177	4	2	2	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086178	9	3	2	8	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086179	16	4	6	17	3	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086180	19128	5808	6998	31164	8993	10213	11208	9803	11043	18318	13944	14164	13080.15	10685	15475	1.438	0.524	0.00697815077190909	0.0752592731516973	0.0269	0.0335
